mofname,target
acs-a+N161+E181,412.7638497
acs-a+N161+E66,438.38122
acs-a+N161+E70,467.0124983
acs-a+N164+E136,427.6539444
acs-a+N164+E162,525.1719703
acs-a+N164+E175,498.945958
acs-a+N164+E199,497.7770345
acs-a+N164+E69,520.7889617
acs-a+N164+E88,521.9237661
acs-a+N184+E122,402.1491597
acs-a+N184+E145,386.4783214
acs-a+N184+E201,424.2583128
acs-a+N184+E26,419.0622245
acs-a+N184+E45,426.572398
acs-a+N2+E127,438.0107702
acs-a+N2+E201,415.6411672
acs-a+N2+E50,447.4850908
acs-a+N215+E102,460.6544253
acs-a+N215+E143,444.8385637
acs-a+N215+E31,391.2900317
acs-a+N215+E82,386.1885572
acs-a+N219+E14,421.0110331
acs-a+N219+E151,418.2291565
acs-a+N219+E181,399.755396
acs-a+N219+E58,442.3845829
acs-a+N237+E182,444.9319083
acs-a+N237+E66,443.7586592
acs-a+N237+E70,466.5961452
acs-a+N238+E136,409.6251503
acs-a+N238+E199,457.2204628
acs-a+N256+E113,408.5483076
acs-a+N256+E179,416.1137903
acs-a+N256+E3,423.6244827
acs-a+N267+E120,424.6383166
acs-a+N267+E143,430.3716125
acs-a+N267+E199,441.8979028
acs-a+N267+E52,460.2287912
acs-a+N267+E63,446.0244831
acs-a+N282+E159,459.9163011
acs-a+N282+E44,465.2329892
acs-a+N304+E220,424.3270361
acs-a+N304+E45,431.918506
acs-a+N305+E204,460.234646
acs-a+N310+E192,460.5457674
acs-a+N310+E35,413.3460725
acs-a+N310+E58,456.1681187
acs-a+N335+E175,455.4262338
acs-a+N34+E135,418.8966152
acs-a+N34+E14,435.0787219
acs-a+N34+E146,437.0311204
acs-a+N34+E45,422.1371071
acs-a+N34+E53,414.3197881
acs-a+N34+E57,418.0079918
acs-a+N346+E113,406.2673662
acs-a+N346+E135,450.5979824
acs-a+N346+E178,450.8946378
acs-a+N346+E78,417.340797
acs-a+N346+E88,459.308295
acs-a+N371+E151,464.453129
acs-a+N371+E192,458.3533761
acs-a+N371+E228,442.7585918
acs-a+N385+E160,457.2837133
acs-a+N385+E168,494.3099622
acs-a+N385+E18,472.1429027
acs-a+N385+E199,464.3983584
acs-a+N385+E53,434.5318714
acs-a+N398+E145,406.3129617
acs-a+N398+E58,469.2088247
acs-a+N434+E107,412.3106354
acs-a+N434+E14,449.621794
acs-a+N435+E128,448.1023534
acs-a+N435+E181,404.0093168
acs-a+N461+E26,454.9742709
acs-a+N461+E48,480.7703692
acs-a+N492+E128,480.2035089
acs-a+N492+E153,450.5248692
acs-a+N492+E181,444.7519989
acs-a+N492+E189,450.7941673
acs-a+N492+E68,436.7817072
acs-a+N50+E0,459.1050692
acs-a+N50+E19,426.3289672
acs-a+N50+E204,438.6994949
acs-a+N515+E120,441.0091623
acs-a+N515+E195,441.633583
acs-a+N561+E202,481.2171459
acs-a+N627+E101,402.8312183
acs-a+N649+E110,402.780756
acs-a+N649+E168,512.2661885
acs-a+N649+E201,458.4298293
acs-a+N649+E203,405.5523944
acs-a+N649+E233,439.015087
acs-a+N649+E36,394.3669189
acs-a+N68+E130,454.6825355
acs-a+N68+E135,435.4399712
acs-a+N68+E160,437.7226748
acs-a+N68+E215,446.292693
acs-a+N68+E222,403.8369431
acs-a+N68+E68,413.4236367
acs-a+N697+E101,385.699106
acs-a+N697+E110,396.8566575
acs-a+N697+E128,478.3539616
acs-a+N697+E15,456.7926969
acs-a+N697+E163,413.5853925
acs-a+N697+E174,418.0696063
acs-a+N697+E34,407.9067308
acs-a+N697+E36,385.2890276
acs-a+N697+E43,457.3506832
acs-a+N708+E139,460.4922228
acs-a+N708+E151,456.9205001
acs-a+N708+E155,410.2012013
acs-a+N708+E181,434.5245153
acs-a+N708+E37,439.2422957
acs-a+N719+E127,471.7124992
acs-a+N719+E136,400.7925997
acs-a+N719+E146,464.4987172
acs-a+N719+E58,469.2308513
acs-a+N719+E96,408.4514401
acs-a+N73+E110,398.3640253
acs-a+N73+E114,410.7690135
acs-a+N76+E162,457.9935769
acs-a+N76+E166,432.8426887
acs-a+N93+E14,410.5250003
acs-a+N93+E180,410.97119
acs-f+N10+E172,531.6598516
acs-f+N117+E0,412.8855381
acs-f+N117+E173,512.8542528
acs-f+N133+E228,477.6798775
acs-f+N137+E26,458.2003523
acs-f+N150+E105,171.5013013
acs-f+N172+E138,469.2342313
acs-f+N172+E149,507.0777314
acs-f+N172+E162,408.5804047
acs-f+N172+E19,459.4383736
acs-f+N18+E69,465.3725137
acs-f+N196+E105,485.607515
acs-f+N196+E208,556.8230989
acs-f+N206+E63,460.4406943
acs-f+N225+E56,555.0639298
acs-f+N245+E153,513.6122852
acs-f+N245+E168,519.0171975
acs-f+N246+E206,469.4837706
acs-f+N246+E36,507.9025916
acs-f+N254+E13,479.1564863
acs-f+N254+E228,463.7643492
acs-f+N277+E172,515.9168555
acs-f+N277+E56,573.0411013
acs-f+N298+E88,518.8490907
acs-f+N300+E15,497.5375862
acs-f+N300+E63,479.0359268
acs-f+N315+E13,468.7122968
acs-f+N377+E158,463.9595602
acs-f+N377+E160,461.7934401
acs-f+N377+E19,511.0732948
acs-f+N377+E26,503.3678131
acs-f+N391+E132,450.832003
acs-f+N391+E162,441.890129
acs-f+N391+E19,432.2503236
acs-f+N408+E60,466.9751284
acs-f+N411+E170,420.3893654
acs-f+N411+E180,495.5242158
acs-f+N411+E43,555.3337367
acs-f+N411+E58,531.921607
acs-f+N415+E149,470.6813267
acs-f+N440+E189,561.6825773
acs-f+N440+E35,537.4826457
acs-f+N450+E105,413.6599817
acs-f+N474+E172,497.7673536
acs-f+N481+E182,464.6835584
acs-f+N481+E204,470.2552984
acs-f+N484+E169,556.2471571
acs-f+N485+E155,425.6578293
acs-f+N485+E72,536.1679723
acs-f+N495+E99,527.4887367
acs-f+N499+E123,551.1047727
acs-f+N499+E135,550.7335936
acs-f+N499+E156,555.0870848
acs-f+N499+E181,546.0681152
acs-f+N499+E65,453.1733011
acs-f+N51+E110,509.3237092
acs-f+N51+E143,538.604385
acs-f+N51+E196,408.5623575
acs-f+N51+E199,480.6025628
acs-f+N51+E203,503.7827117
acs-f+N51+E219,534.1047149
acs-f+N51+E66,513.5485395
acs-f+N51+E68,542.4023405
acs-f+N519+E142,538.5762969
acs-f+N519+E155,477.9161199
acs-f+N519+E192,485.708095
acs-f+N519+E220,549.6086085
acs-f+N519+E67,519.5932305
acs-f+N572+E149,486.7672639
acs-f+N572+E212,466.3635991
acs-f+N579+E34,560.3439488
acs-f+N579+E88,513.6496482
acs-f+N60+E113,444.3099415
acs-f+N60+E132,349.9405032
acs-f+N60+E174,564.1337287
acs-f+N60+E18,545.0637552
acs-f+N60+E49,460.6529657
acs-f+N606+E66,559.4510004
acs-f+N606+E92,554.3839068
acs-f+N611+E130,471.9379969
acs-f+N611+E167,478.9472811
acs-f+N611+E174,437.9498786
acs-f+N651+E127,457.5230525
acs-f+N651+E139,468.644012
acs-f+N651+E212,461.2202161
acs-f+N671+E81,506.6272691
acs-f+N682+E177,483.1023103
acs-f+N682+E188,535.119842
acs-f+N682+E53,536.5642406
acs-f+N713+E203,423.6996105
acs-f+N713+E27,530.6538593
acs-f+N717+E23,546.027847
acs-f+N717+E38,536.9328185
acs-f+N717+E81,520.334332
acs-f+N8+E105,520.7215879
acs-g+N10+E105,460.0899325
acs-g+N10+E169,439.6008641
acs-g+N10+E172,448.2432971
acs-g+N10+E210,441.8580607
acs-g+N110+E169,399.3605934
acs-g+N117+E127,512.5894633
acs-g+N117+E14,474.3256921
acs-g+N117+E141,410.2127846
acs-g+N117+E44,438.7334316
acs-g+N117+E81,464.4391198
acs-g+N117+E85,486.3751733
acs-g+N137+E127,478.8031828
acs-g+N137+E45,411.4963489
acs-g+N137+E72,439.4133554
acs-g+N176+E169,438.2394088
acs-g+N186+E132,437.8907336
acs-g+N196+E105,444.941829
acs-g+N20+E169,412.7267741
acs-g+N225+E210,460.5821197
acs-g+N23+E105,447.134218
acs-g+N23+E74,458.9520025
acs-g+N245+E177,528.9604352
acs-g+N245+E85,493.7044637
acs-g+N246+E120,495.8881387
acs-g+N246+E170,397.7788337
acs-g+N246+E179,437.7838103
acs-g+N246+E206,471.3220202
acs-g+N246+E26,456.3265073
acs-g+N246+E40,431.4811547
acs-g+N277+E105,451.7842101
acs-g+N277+E169,426.0523793
acs-g+N277+E208,457.9671556
acs-g+N285+E74,488.1880583
acs-g+N298+E180,410.1050457
acs-g+N377+E19,438.7793306
acs-g+N377+E212,435.8879644
acs-g+N377+E215,423.7235347
acs-g+N408+E105,395.2317829
acs-g+N411+E118,384.0450582
acs-g+N411+E201,411.2744164
acs-g+N411+E37,434.0461318
acs-g+N411+E48,461.0709376
acs-g+N415+E139,422.2690255
acs-g+N415+E162,419.5478756
acs-g+N440+E107,435.7456726
acs-g+N440+E26,466.2602082
acs-g+N440+E67,515.4799326
acs-g+N440+E79,507.1611988
acs-g+N474+E172,442.0572065
acs-g+N477+E133,399.2172144
acs-g+N485+E138,470.7426996
acs-g+N499+E120,460.6952501
acs-g+N499+E187,415.0668465
acs-g+N499+E34,409.3619422
acs-g+N499+E38,414.6480287
acs-g+N499+E45,442.4561168
acs-g+N51+E112,459.1601872
acs-g+N51+E17,451.8528925
acs-g+N51+E18,535.3400916
acs-g+N51+E31,413.6997206
acs-g+N51+E34,437.9678478
acs-g+N51+E40,438.9197136
acs-g+N51+E41,402.4304215
acs-g+N51+E78,427.9455894
acs-g+N51+E80,425.1322341
acs-g+N51+E83,407.5916806
acs-g+N519+E0,520.1822991
acs-g+N519+E48,460.2871122
acs-g+N572+E149,441.2663026
acs-g+N579+E112,451.146808
acs-g+N579+E127,532.4468821
acs-g+N579+E153,505.3544987
acs-g+N579+E177,486.8017863
acs-g+N579+E181,457.1336888
acs-g+N579+E31,389.567019
acs-g+N579+E69,560.1534518
acs-g+N579+E86,490.0392129
acs-g+N583+E149,447.6298481
acs-g+N60+E104,400.9542886
acs-g+N60+E11,429.4960402
acs-g+N60+E174,410.41729
acs-g+N60+E48,512.1479383
acs-g+N60+E6,380.4906583
acs-g+N60+E69,512.0152418
acs-g+N60+E81,465.0312727
acs-g+N60+E85,475.4645094
acs-g+N611+E184,465.8653914
acs-g+N682+E132,448.1048457
acs-g+N682+E134,457.5589723
acs-g+N682+E202,503.341903
acs-g+N682+E73,495.7254641
acs-g+N682+E79,512.5199566
acs-g+N682+E84,539.8229798
acs-g+N713+E112,419.2206969
acs-g+N713+E158,481.0449976
acs-g+N713+E18,456.4358334
acs-g+N713+E76,455.6724604
acs-g+N717+E202,483.6886825
acs-g+N717+E206,505.3046906
acs-g+N717+E48,514.6165092
acs-h+N133+E0,341.5647544
acs-h+N133+E33,444.7618899
acs-h+N133+E47,477.4328976
acs-h+N172+E13,507.5533532
acs-h+N172+E139,488.867131
acs-h+N172+E142,492.357351
acs-h+N172+E146,505.7638135
acs-h+N172+E15,504.6719363
acs-h+N172+E175,499.5249108
acs-h+N172+E206,463.6819522
acs-h+N172+E41,425.7395531
acs-h+N172+E66,476.1966221
acs-h+N206+E149,474.0793042
acs-h+N206+E154,504.239375
acs-h+N206+E178,467.045515
acs-h+N206+E212,450.6813226
acs-h+N206+E216,468.3272591
acs-h+N206+E78,500.2585443
acs-h+N242+E120,488.9185367
acs-h+N242+E181,490.1150016
acs-h+N242+E48,459.6627973
acs-h+N242+E95,444.3996748
acs-h+N254+E110,505.084767
acs-h+N254+E142,512.2498796
acs-h+N254+E146,490.6121726
acs-h+N254+E149,436.0356785
acs-h+N254+E154,547.1718486
acs-h+N254+E195,518.4857934
acs-h+N254+E199,476.4103442
acs-h+N254+E228,472.8490631
acs-h+N254+E232,493.8831631
acs-h+N254+E50,462.6409652
acs-h+N254+E51,415.7267355
acs-h+N272+E139,441.9982394
acs-h+N272+E50,449.4226093
acs-h+N300+E14,504.1689094
acs-h+N300+E149,488.3299888
acs-h+N300+E15,477.4968435
acs-h+N300+E199,489.1338671
acs-h+N300+E51,422.8469735
acs-h+N300+E63,482.7255867
acs-h+N300+E76,485.7102154
acs-h+N300+E8,511.7427305
acs-h+N332+E202,417.7105156
acs-h+N332+E212,420.5471152
acs-h+N364+E139,479.6453228
acs-h+N364+E142,451.1640222
acs-h+N364+E15,458.1602737
acs-h+N364+E181,433.4370746
acs-h+N364+E185,448.2768097
acs-h+N364+E228,434.6420204
acs-h+N364+E51,462.9371718
acs-h+N383+E195,518.5887362
acs-h+N383+E51,422.221359
acs-h+N383+E52,476.8886093
acs-h+N391+E166,466.9727505
acs-h+N391+E17,493.0114604
acs-h+N391+E175,450.067238
acs-h+N391+E58,405.0777397
acs-h+N446+E139,445.3008974
acs-h+N446+E162,450.332439
acs-h+N446+E70,491.8448701
acs-h+N482+E111,506.8278893
acs-h+N482+E181,483.2667116
acs-h+N482+E206,393.505963
acs-h+N482+E233,451.5790618
acs-h+N572+E104,463.2424362
acs-h+N572+E120,481.7826422
acs-h+N572+E138,471.7796031
acs-h+N650+E63,470.8613681
acs-h+N651+E11,509.0724255
acs-h+N651+E110,476.7491595
acs-h+N651+E186,433.2074924
acs-h+N651+E203,481.2864631
acs-h+N651+E222,477.0649569
acs-h+N651+E95,462.070318
acs-h+N671+E127,477.0590296
acs-h+N671+E160,498.4577208
acs-h+N671+E233,457.2566928
acs-h+N671+E57,444.2105993
acs-h+N671+E6,428.556335
acs-h+N671+E78,459.1330488
acs-i+N133+E219,508.0747958
acs-i+N133+E222,478.3876215
acs-i+N133+E96,500.788443
acs-i+N172+E118,429.5260937
acs-i+N172+E13,520.9003454
acs-i+N172+E138,519.5843769
acs-i+N172+E149,520.9553434
acs-i+N172+E168,460.0604615
acs-i+N172+E206,452.5696541
acs-i+N172+E226,471.63564
acs-i+N172+E63,526.9384768
acs-i+N172+E76,522.160053
acs-i+N206+E134,474.0369404
acs-i+N206+E219,506.7517851
acs-i+N206+E24,468.68293
acs-i+N206+E65,496.25554
acs-i+N206+E69,475.9450456
acs-i+N206+E72,494.6978549
acs-i+N206+E76,508.2882092
acs-i+N206+E95,500.4550149
acs-i+N242+E145,453.4437156
acs-i+N242+E181,504.9149478
acs-i+N242+E57,495.1094519
acs-i+N242+E66,515.9625541
acs-i+N242+E9,409.0927138
acs-i+N242+E95,493.107481
acs-i+N254+E120,540.8013117
acs-i+N254+E131,518.6788264
acs-i+N254+E138,516.9292836
acs-i+N254+E206,439.0637713
acs-i+N254+E234,565.9674522
acs-i+N254+E38,533.9900868
acs-i+N300+E183,490.2067833
acs-i+N300+E233,482.1727893
acs-i+N300+E95,488.697507
acs-i+N332+E19,420.7074167
acs-i+N332+E212,417.4268672
acs-i+N364+E119,465.2191441
acs-i+N364+E13,487.5652579
acs-i+N364+E130,479.3433759
acs-i+N383+E138,429.0394814
acs-i+N383+E79,388.3766891
acs-i+N391+E139,437.6658891
acs-i+N391+E162,434.1860975
acs-i+N391+E38,422.6125686
acs-i+N391+E58,450.7444739
acs-i+N391+E65,437.3444158
acs-i+N446+E138,391.9711046
acs-i+N446+E63,421.4181944
acs-i+N482+E143,501.3670742
acs-i+N482+E182,513.3809506
acs-i+N482+E232,459.3881802
acs-i+N572+E149,297.7512681
acs-i+N572+E76,328.6121729
acs-i+N572+E80,532.2667497
acs-i+N651+E120,485.1677551
acs-i+N651+E127,461.4520232
acs-i+N671+E102,261.4449313
acs-i+N671+E111,506.8877116
acs-i+N671+E204,452.0281674
acs-i+N671+E76,451.5596798
afi+N109+E127,532.4119226
afi+N115+E51,473.0696432
afi+N156+E127,484.9745289
afi+N156+E228,469.898508
afi+N164+E45,511.8396383
afi+N164+E88,539.6331919
afi+N215+E132,491.284907
afi+N237+E162,484.6892631
afi+N237+E186,480.9641327
afi+N237+E202,485.9527155
afi+N238+E212,470.3081189
afi+N310+E130,494.270229
afi+N310+E138,512.2741017
afi+N346+E184,512.8043524
afi+N393+E212,518.7654088
afi+N398+E51,450.2766002
afi+N461+E204,510.7302413
afi+N461+E220,482.9129579
afi+N649+E127,497.7266923
afi+N68+E158,490.4985366
afi+N697+E88,475.880351
afi+N708+E0,540.3063026
afw+N109+E136,452.8420721
afw+N109+E181,497.7114051
afw+N109+E8,491.2305976
afw+N112+E153,508.8694104
afw+N113+E110,444.6724575
afw+N113+E145,445.3771112
afw+N113+E148,461.4747267
afw+N113+E23,464.5245302
afw+N113+E32,466.2996228
afw+N115+E107,456.9951084
afw+N115+E110,440.8254467
afw+N115+E138,568.6895492
afw+N115+E142,517.8434381
afw+N115+E145,438.8463021
afw+N115+E16,534.2288392
afw+N115+E204,563.0511763
afw+N115+E24,469.0562461
afw+N133+E162,497.1745038
afw+N156+E114,423.7018867
afw+N156+E120,484.0999858
afw+N156+E34,458.3235503
afw+N156+E6,421.0468399
afw+N156+E61,440.7179028
afw+N158+E132,480.2344148
afw+N158+E147,444.0680704
afw+N158+E173,503.4100852
afw+N158+E195,474.1756264
afw+N158+E202,480.7659809
afw+N158+E222,414.6174043
afw+N158+E84,495.4767432
afw+N161+E104,437.8884587
afw+N161+E89,513.8856531
afw+N164+E181,501.7853266
afw+N164+E184,588.9089838
afw+N164+E40,475.7174637
afw+N184+E8,461.4741686
afw+N184+E84,537.1801618
afw+N188+E155,450.0908834
afw+N188+E226,550.3899982
afw+N188+E53,468.4729248
afw+N2+E212,491.9604938
afw+N2+E217,515.8515131
afw+N2+E44,480.266177
afw+N215+E181,476.1273727
afw+N215+E37,507.2164276
afw+N215+E63,551.1200304
afw+N219+E13,468.5905332
afw+N219+E137,444.909254
afw+N219+E173,476.3330333
afw+N219+E178,436.1825913
afw+N219+E181,420.0945054
afw+N219+E195,456.2552214
afw+N219+E38,419.7272643
afw+N219+E44,463.6865559
afw+N219+E48,492.7563368
afw+N219+E96,424.0503646
afw+N237+E127,510.1061845
afw+N237+E179,459.4982659
afw+N237+E201,497.3676465
afw+N237+E23,464.3713274
afw+N237+E35,442.5806429
afw+N238+E17,459.893494
afw+N238+E215,500.5841788
afw+N238+E94,436.5608847
afw+N254+E63,513.2617564
afw+N256+E187,467.2957944
afw+N256+E220,511.5725103
afw+N256+E24,470.1154638
afw+N256+E35,451.9934181
afw+N267+E23,452.7821022
afw+N276+E61,454.1266393
afw+N276+E63,549.9494608
afw+N282+E16,495.8975724
afw+N282+E204,516.7258987
afw+N305+E142,472.5972746
afw+N305+E204,524.2199114
afw+N305+E233,467.5360054
afw+N305+E31,414.4510607
afw+N305+E7,381.5671206
afw+N305+E8,456.0161089
afw+N305+E81,485.6034798
afw+N305+E84,531.3324149
afw+N305+E85,500.5567775
afw+N307+E146,491.1670542
afw+N307+E199,464.697541
afw+N310+E107,466.0290233
afw+N310+E148,450.4825445
afw+N310+E170,430.4570225
afw+N310+E23,490.1294312
afw+N310+E61,454.022352
afw+N310+E94,452.4818852
afw+N310+E96,462.4726077
afw+N312+E154,441.4259934
afw+N317+E79,267.5703025
afw+N32+E0,462.3928655
afw+N32+E136,434.5271869
afw+N32+E67,507.4539171
afw+N32+E83,428.8688062
afw+N34+E111,460.4830455
afw+N34+E120,497.3562843
afw+N34+E187,444.6993281
afw+N34+E34,440.7214577
afw+N34+E80,442.9609555
afw+N346+E203,440.1274311
afw+N346+E216,566.2735096
afw+N346+E234,455.1737768
afw+N359+E166,493.021292
afw+N359+E199,518.7155559
afw+N371+E2,408.4757177
afw+N371+E223,425.7519867
afw+N371+E24,468.4230317
afw+N385+E110,440.3978854
afw+N385+E113,459.2214439
afw+N385+E134,515.0507205
afw+N385+E137,531.3942173
afw+N385+E149,530.4839303
afw+N385+E181,479.5695283
afw+N385+E185,493.9364369
afw+N385+E228,499.2828464
afw+N390+E37,526.0780451
afw+N393+E24,493.7524373
afw+N398+E34,485.3472669
afw+N398+E4,416.6130422
afw+N398+E72,502.5689529
afw+N42+E139,483.0936892
afw+N434+E185,489.6200283
afw+N434+E47,431.9514531
afw+N435+E110,408.2531186
afw+N435+E13,489.536764
afw+N435+E171,462.4351872
afw+N435+E203,412.1867643
afw+N435+E220,462.1868876
afw+N435+E52,512.4261394
afw+N437+E136,424.1138198
afw+N450+E162,495.1821856
afw+N450+E211,502.2542144
afw+N450+E34,446.2051423
afw+N455+E57,494.6097206
afw+N461+E146,521.5791764
afw+N461+E185,488.9415343
afw+N461+E187,457.5241284
afw+N461+E19,532.3129985
afw+N461+E2,415.273416
afw+N461+E57,475.1090356
afw+N461+E72,517.3615701
afw+N461+E96,458.3240154
afw+N466+E169,407.6762854
afw+N50+E34,407.1780293
afw+N50+E45,436.6220292
afw+N514+E129,482.0608783
afw+N514+E210,454.9018418
afw+N515+E54,431.0988695
afw+N515+E83,408.8769708
afw+N520+E136,427.2104472
afw+N520+E153,476.2855663
afw+N520+E173,522.3594168
afw+N520+E20,408.362696
afw+N520+E44,455.6806841
afw+N520+E66,467.8113552
afw+N524+E57,480.7900061
afw+N547+E220,480.0446986
afw+N562+E141,403.4661715
afw+N616+E113,472.1056518
afw+N616+E156,531.0004344
afw+N616+E43,527.9072165
afw+N627+E5,466.2564324
afw+N649+E0,507.6464133
afw+N649+E11,505.0814317
afw+N649+E136,453.9698882
afw+N649+E222,442.3990379
afw+N649+E53,484.7689799
afw+N649+E9,389.7700582
afw+N68+E128,559.7820031
afw+N68+E139,539.8539293
afw+N68+E160,500.4560689
afw+N68+E203,441.6558103
afw+N68+E36,417.0723561
afw+N697+E110,443.2905447
afw+N697+E111,450.6646125
afw+N697+E22,414.9502709
afw+N697+E3,477.5620769
afw+N697+E34,460.5992512
afw+N697+E83,432.4518169
afw+N697+E91,429.5915706
afw+N697+E95,545.4249137
afw+N708+E108,550.7243156
afw+N708+E112,454.7608592
afw+N708+E139,529.1494745
afw+N708+E159,487.782121
afw+N708+E180,487.4394901
afw+N708+E35,421.4358232
afw+N719+E113,442.7139876
afw+N719+E29,497.5597945
afw+N73+E107,444.0932882
afw+N73+E11,479.9168035
afw+N73+E202,516.4578955
afw+N76+E0,557.8902955
afw+N76+E156,478.6660295
afw+N76+E165,532.8182701
afw+N76+E166,484.0678863
afw+N76+E168,528.3219575
afw+N76+E189,459.1176208
afw+N76+E215,485.5301286
afw+N76+E34,428.4886932
afw+N89+E115,511.137528
afw+N89+E195,550.3692214
afw+N89+E38,542.2604077
afw+N89+E43,559.2425543
afw+N93+E127,490.8205755
afw+N93+E163,417.9517657
afw+N93+E69,498.3156664
alb+N125+N177+E65,445.9368508
alb+N125+N56+E212,171.5092009
alb+N442+N203+E216,225.0874596
alb+N442+N648+E196,538.2220424
alb+N541+N94+E73,470.8377818
alb+N574+N56+E156,437.3643374
alb+N589+N107+E230,547.4957126
alb+N645+N58+E186,358.8494428
alb+N86+N56+E142,418.7489996
alb+N9+N648+E103,535.1409663
alm+N133+N125+E64+E148,540.0298843
alm+N133+N667+E226+E17,493.3351185
alm+N242+N489+E183+E234,486.9427561
alm+N254+N328+E226+E39,476.1011967
alm+N254+N354+E9+E154,568.3687484
alm+N254+N589+E226+E102,285.2191967
alm+N254+N667+E48+E221,504.9733002
alm+N300+N197+E201+E202,531.8553264
alm+N300+N198+E65+E102,341.1097137
alm+N364+N102+E137+E176,444.9488124
alm+N364+N287+E162+E43,503.7914962
alm+N364+N481+E112+E91,446.6310633
alm+N383+N354+E102+E7,455.1603913
alm+N383+N428+E217+E179,463.9276103
alm+N383+N481+E163+E234,545.3593595
alm+N383+N481+E51+E72,515.8813725
alm+N383+N92+E116+E133,509.5435035
alm+N391+N125+E210+E209,510.3809251
alm+N482+N574+E42+E79,476.1205532
alm+N482+N667+E176+E213,496.2401829
alm+N572+N268+E51+E59,434.2340123
alm+N572+N343+E41+E107,472.416694
alm+N651+N574+E181+E69,502.1093846
alm+N671+N232+E109+E97,469.7388423
alm+N671+N489+E63+E158,524.7679697
alm+N671+N528+E73+E79,493.5879516
alm+N671+N541+E68+E131,509.4012345
alm+N671+N574+E161+E191,485.5869349
alm+N671+N86+E194+E133,481.7998208
alm+N671+N92+E33+E152,473.3898655
ana+N73+E0,510.7504334
anh+N101+N10+E160,549.6269083
anh+N101+N20+E181,517.8974926
anh+N101+N25+E76,551.1794576
anh+N106+N160+E6,463.1022237
anh+N106+N225+E173,473.8234031
anh+N106+N277+E122,533.4815615
anh+N106+N474+E206,514.903126
anh+N135+N25+E162,535.9700011
anh+N139+N410+E215,531.6779382
anh+N139+N495+E234,517.800898
anh+N144+N516+E183,506.2642632
anh+N146+N516+E69,535.2718319
anh+N147+N150+E202,537.0049012
anh+N147+N20+E115,534.4788522
anh+N147+N23+E145,469.2736238
anh+N147+N484+E67,518.2298466
anh+N147+N558+E220,503.982129
anh+N147+N679+E67,518.4048715
anh+N155+N225+E228,520.6068757
anh+N155+N277+E228,514.4660225
anh+N182+N19+E153,511.8724575
anh+N182+N277+E88,496.9038976
anh+N214+N571+E81,555.2957175
anh+N220+N410+E66,541.6734627
anh+N232+N277+E219,547.0653756
anh+N250+N456+E130,490.2373107
anh+N264+N176+E120,552.4702528
anh+N264+N176+E98,497.5542776
anh+N264+N23+E195,555.5738842
anh+N264+N277+E116,534.3744225
anh+N264+N484+E84,520.8128971
anh+N264+N484+E92,561.634716
anh+N264+N495+E80,503.5298627
